yelp_category;split_yelp_category;;
Beauty & Spas;Beauty, Spas;;
Health & Medical;Health, Medical;;
Event Planning & Services;Event Planning, Event Services;;
Coffee & Tea;Coffee, Tea;;
Breakfast & Brunch;Breakfast, Brunch;;
Hotels & Travel;Hotels, Travels;;
Home & Garden;Home, Garden;;
Arts & Entertainment;Arts, Entertainment;;
Fitness & Instruction;Fitness, Instruction;;
Ice Cream & Frozen Yogurt;Ice Cream, Frozen Yogurt;;
Venues & Event Spaces;Venues, Event Spaces;;
Wine & Spirits;Wine, Spirits;;
Flowers & Gifts;Flowers, Gifts;;
Auto Parts & Supplies;Auto Parts, Auto Supplies;;
Juice Bars & Smoothies;Juice Bars, Smoothies;;
Cosmetics & Beauty Supply;Cosmetics, Beauty Supplies;;
Arts & Crafts;Arts, Crafts;;
Public Services & Government;Public Services, Government;;
Heating & Air Conditioning/HVAC;Heating, Air Conditioning, HVAC;;
IT Services & Computer Repair;IT Services, Computer Repiar;;
Dry Cleaning & Laundry;Dry Cleaning, Laundry;;
Party & Event Planning;Party Planning, Event Planning;;
Eyewear & Opticians;Eyewear, Opticians;;
Music & Video;Music, Videos;;
Nurseries & Gardening;Nurseries, Gardening;;
Sewing & Alterations;Sewing, Alterations;;
Appliances & Repair;Appliances, Repair;;
Kitchen & Bath;Kitchen, Bath;;
Vintage & Consignment;Vintage, Consignment;;
Banks & Credit Unions;Banks, Credit Unions;;
Fruits & Veggies;Fruits, Veggies;;
Photography Stores & Services;Photography Stores, Photography Services;;
Child Care & Day Care;Child Care, Day Care;;
Junk Removal & Hauling;Junk Removal, Hauling;;
Windshield Installation & Repair;Windshield Installation, Windshield Repair;;
Chocolatiers & Shops;Chocolatiers, Shops;;
Lighting Fixtures & Equipment;Lighting Fixtures, Lighting Equipment;;
Bed & Breakfast;Bed, Breakfest;;
Keys & Locksmiths;Keys, Locksmiths;;
Couriers & Delivery Services;Couriers, Delivery Services;;
Obstetricians & Gynecologists;Obstetricians, Gynecologists;;
Wheel & Rim Repair;Wheel Repair, Rim Repair;;
Landmarks & Historical Buildings;Landmarks, Historical Buildings;;
Pool & Hot Tub Service;Pool Service, Hot Tub Service;;
Musical Instruments & Teachers;Musical Instruments, Musical Teachers;;
Shades & Blinds;Shades, Blinds;;
Hot Tub & Pool;Hot Tub, Pool;;
Vitamins & Supplements;Vitamins, Suppplements;;
Cards & Stationery;Cards, Stationery;;
Guns & Ammo;Guns, Ammo;;
Baby Gear & Furniture;Baby Gear, Baby Furniture;;
Music & DVDs;Music, DVDs;;
Counseling & Mental Health;Counseling, Mental Health;;
Glass & Mirrors;Glass, Mirros;;
Fish & Chips;Fish & Chips;;
Fences & Gates;Fences, Gates;;
Videos & Video Game Rental;Videos, Video Game Rental,;;
Jazz & Blues;Jazz, Blues;;
Colleges & Universities;Colleges, Universities;;
Funeral Services & Cemeteries;Funeral Services, Cemeteries;;
Drywall Installation & Repair;Drywall Installation, Drywall Repair;;
Home & Rental Insurance;Home Insurance, Rental Insurance;;
Divorce & Family Law;Divorce Law, Family Law;;
Stadiums & Arenas;Stadiums, Arenas;;
Decks & Railing;Decks, Railing;;
Herbs & Spices;Herbs, Spices;;
Paint & Sip;Paint, Sip;;
Hunting & Fishing Supplies;Hunting Supplies, Fishing Supplies;;
Ear Nose & Throat;Ear Nose & Throat;;
Middle Schools & High Schools;Middle Schools, High Schools;;
Embroidery & Crochet;Embroidery, Crochet;;
Vocational & Technical School;Vocational School, Technical School;;
Blood & Plasma Donation Centers;Blood Donation Centers, Plasma Donation Centers;;
Pool & Billiards;Pool, Billiards;;
Newspapers & Magazines;Newspapers, Magazines;;
Ski & Snowboard Shops;Ski Shops, Snowboard Shops;;
Livestock Feed & Supply;Livestoock Feed, Livestock Supply;;
& Probates;Probates;;
Recording & Rehearsal Studios;Recording Studios, Rehearsal Studios;;
Gemstones & Minerals;Gemstones, Minerals;;
Mobility Equipment Sales & Services;Mobility Equipment Sales, Mobility Equipment Services;;
Machine & Tool Rental;Machine Rental, Tool Rental;;
Races & Competitions;Races, Competitions;;
Passport & Visa Services;Passport Services, Visa Services;;
Motorcycle Parts & Supplies;Motorcycle Parts, Motorcycle Supplies;;
Opera & Ballet;Opera, Ballet;;
Boat Parts & Supplies;Boat Parts, Boat Supplies;;
Coffee & Tea Supplies;Coffee Supplies,  Tea Supplies;;
Jails & Prisons;Jails, Prisons;;
IP & Internet Law;IP Law, Internet Law;;
Sheds & Outdoor Storage;Sheds, Outdoor Storage;;
Sauna Installation & Repair;Sauna Installation, Sauna Repair;;
Cajun/Creole;Cajun, Creole;;
Water Heater Installation/Repair;Water Heater Installation, Water Heater Repair;;
Community Service/Non-Profit;Community Service, Non Profit;;
Blow Dry/Out Services;Blow Dry Services, Out Services;;
Tapas/Small Plates;Tapas, Small Plates;;
Masonry/Concrete;Masonry, Concrete;;
Door Sales/Installation;Door Sales, Door Installation;;
Bike Repair/Maintenance;Bike Repair, Bike Maintenance;;
Naturopathic/Holistic;Naturopathic, Holistic;;
Laser Eye Surgery/Lasik;Laser Eye Surgery, Lasik;;
Gun/Rifle Ranges;Gun Ranges, Rifle Ranges;;
Screen Printing/T-Shirt Printing;Screen Printing, T-Shirt Printing;;
Rafting/Kayaking;Rafting, Kayaking;;
Patisserie/Cake Shop;Patisserie Shop, Cake Shop;;
Fitness/Exercise Equipment;Fitness Equipment, Exercise Equipment;;
Live/Raw Food;Live Food, Raw Food;;
Video/Film Production;Video Production, Film Production;;
Swimming Lessons/Schools;Swimming Lessons, Swimming Schools;;
Generator Installation/Repair;Generator Installation, Generator Repair;;
Persian/Iranian;Persian, Iranian;;
Hypnosis/Hypnotherapy;Hypnosis, Hypnotherapy;;
Check Cashing/Pay-day Loans;Check Cashing, Pay-day Loans;;
Prenatal/Perinatal Care;Prenatal Care, Perinatal Care;;
Himalayan/Nepalese;Himalayan, Nepalese;;
Audio/Visual Equipment Rental;Audio-Visual Equipment Rental;;
ATV Rentals/Tours;ATV Rentals, ATV Tours;;
Undersea/Hyperbaric Medicine;Undersea Medicine, Hyperbaric Medicine;;
